cin,in_size,cout,out_size,kernel_size,stride,note
8,515,96,127,11,4,conv1
48,67,256,63,5,1,conv2a
48,67,256,63,5,1,conv2b
256,33,384,31,3,1,conv3
192,33,384,31,3,1,conv4a
192,33,384,31,3,1,conv4b
192,33,256,31,3,1,conv5a
192,33,256,31,3,1,conv5b
