cin,in_size,cout,out_size,kernel_size,stride,note
8,226,32,224,3,1,conv1
32,114,64,112,3,1,conv2
64,58,128,56,3,1,conv3a
128,56,64,56,1,1,conv3b
64,58,128,56,3,1,conv3c
128,30,256,28,3,1,conv4a
256,28,128,28,1,1,conv4b
128,30,256,28,3,1,conv4c
256,16,512,14,3,1,conv5a
512,14,256,14,1,1,conv5b
256,16,512,14,3,1,conv5c
512,14,256,14,1,1,conv5d
256,16,512,14,3,1,conv5e
512,9,1024,7,3,1,conv6a
1024,7,512,7,1,1,conv6b
512,9,1024,7,3,1,conv6c
1024,7,512,7,1,1,conv6d
512,9,1024,7,3,1,conv6e
1024,7,1000,7,1,1,conv7
