cin,in_size,cout,out_size,kernel_size,stride,note
8,227,96,55,11,4,conv1
48,31,256,27,5,1,conv2a
48,31,256,27,5,1,conv2b
256,15,384,13,3,1,conv3
192,15,384,13,3,1,conv4a
192,15,384,13,3,1,conv4b
192,15,256,13,3,1,conv5a
192,15,256,13,3,1,conv5b
