cin,in_size,cout,out_size,kernel_size,stride,note
8,517,64,256,7,2,conv1
64,128,64,128,1,1,res2a_branch2a
64,130,64,128,3,1,res2a_branch2b
64,128,256,128,1,1,res2a_branch2c
64,128,256,128,1,1,res2a_branch1
256,128,64,128,1,1,res2b_branch2a
64,130,64,128,3,1,res2b_branch2b
64,128,256,128,1,1,res2b_branch2c
256,128,64,128,1,1,res2c_branch2a
64,130,64,128,3,1,res2c_branch2b
64,128,256,128,1,1,res2c_branch2c
256,128,512,64,1,2,res3a_branch1
256,128,128,128,1,1,res3a_branch2a
128,129,128,64,3,2,res3a_branch2b
128,64,512,64,1,1,res3a_branch2c
512,64,128,64,1,1,res3b_branch2a
128,66,128,64,3,1,res3b_branch2b
128,64,512,64,1,1,res3b_branch2c
512,64,128,64,1,1,res3c_branch2a
128,66,128,64,3,1,res3c_branch2b
128,64,512,64,1,1,res3c_branch2c
512,64,128,64,1,1,res3d_branch2a
128,66,128,64,3,1,res3d_branch2b
128,64,512,64,1,1,res3d_branch2c
512,64,1024,32,1,2,res4a_branch1
512,64,256,64,1,1,res4a_branch2a
256,65,256,32,3,2,res4a_branch2b
256,32,1024,32,1,1,res4a_branch2c
1024,32,256,32,1,1,res4b_branch2a
256,34,256,32,3,1,res4b_branch2b
256,32,1024,32,1,1,res4b_branch2c
1024,32,256,32,1,1,res4c_branch2a
256,34,256,32,3,1,res4c_branch2b
256,32,1024,32,1,1,res4c_branch2c
1024,32,256,32,1,1,res4d_branch2a
256,34,256,32,3,1,res4d_branch2b
256,32,1024,32,1,1,res4d_branch2c
1024,32,256,32,1,1,res4e_branch2a
256,34,256,32,3,1,res4e_branch2b
256,32,1024,32,1,1,res4e_branch2c
1024,32,256,32,1,1,res4f_branch2a
256,34,256,32,3,1,res4f_branch2b
256,32,1024,32,1,1,res4f_branch2c
1024,32,2048,16,1,2,res5a_branch1
1024,32,512,32,1,1,res5a_branch2a
512,33,512,16,3,2,res5a_branch2b
512,16,2048,16,1,1,res5a_branch2c
2048,16,512,16,1,1,res5b_branch2a
512,18,512,16,3,1,res5b_branch2b
512,16,2048,16,1,1,res5b_branch2c
2048,16,512,16,1,1,res5c_branch2a
512,18,512,16,3,1,res5c_branch2b
512,16,2048,16,1,1,res5c_branch2c
