cin,in_size,cout,out_size,kernel_size,stride,note
8,226,64,224,3,1,conv1
64,226,64,224,3,1,conv2
64,114,128,112,3,1,conv3
128,114,128,112,3,1,conv4
128,58,256,56,3,1,conv5
256,58,256,56,3,1,conv6
256,58,256,56,3,1,conv7
256,30,512,28,3,1,conv8
512,30,512,28,3,1,conv9
512,30,512,28,3,1,conv10
512,16,512,14,3,1,conv11
512,16,512,14,3,1,conv12
512,16,512,14,3,1,conv13
