Chiplet,Core,Lane,Vector_Size,cin,cout,out_size,kernel_size,stride,OL1,AL1,WL1,real_WL1,AL2,reorder_case,rotation_enable,runtime,area-chiplet,area-package,total_memory_footprint,total_energy,chiplet_communication,dram_communication,DRAM_energy_A,DRAM_energy_W,DRAM_Energy,Die-to-Die_Energy,A-L2_Energy,A-L1_Energy,W-L1_Energy,Output_Energy,MAC_Energy,MOL1,MAL1,MWL1,sMWL1,MAL2,X1,Y1,K1,X2,Y2,K2,Kp,Yp,Kc,Yc,Xc,C1,C0,Csa,X0,Y0,note
4,8,16,8,8,64,224,3,1,384,65536,37376,9344,368640,1,False,64512.0,2081613.699,8326454.796,1148.0,341453672.365491,0,41664512,20424271.57344502,726915.1363301376,25674128.0,0.0,5389.6346198016,5698.4562302976,2966.4290930688003,309423702.1975478,6341787.648,1056964608,33030144,147456,1152b,4143104,4,4,1,7,2,2,1,4,2,2,2,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,384,65536,37376,9344,368640,2,False,64512.0,2081613.699,8326454.796,1148.0,361877943.938936,0,74809344,40848543.14689004,726915.1363301376,46098336.0,0.0,5453.2080648192,5698.4562302976,2966.4290930688003,309423702.1975478,6341787.648,1056964608,33030144,147456,1152b,8286208,4,4,1,7,2,2,1,4,2,2,2,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,1536,65536,37376,9344,368640,1,False,64512.0,2094001.8059999999,8376007.223999999,1148.0,341448081.29337835,0,41664512,20424271.57344502,726915.1363301376,25674128.0,0.0,3762.2270386176,3957.26127104,743.9595208704001,309423702.1975478,6341787.648,1056964608,22937600,147456,1152b,4143104,2,2,1,7,2,2,1,4,2,2,2,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,1536,65536,37376,9344,368640,2,False,64512.0,2094001.8059999999,8376007.223999999,1148.0,361872352.8668233,0,74809344,40848543.14689004,726915.1363301376,46098336.0,0.0,3825.8004836352,3957.26127104,743.9595208704001,309423702.1975478,6341787.648,1056964608,22937600,147456,1152b,8286208,2,2,1,7,2,2,1,4,2,2,2,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,24,65536,18688,9344,368640,1,False,56448.0,2077742.4155625,8310969.66225,1148.0,308762845.52142596,0,52559872,29682332.39047373,726915.1363301376,32387968.0,0.0,18733.604585472,19944.5968060416,41489.2350111744,270745645.8930233,5549064.192,924844032,115605504,147456,576b,6021120,4,4,1,28,14,1,1,4,4,1,2,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,24,65536,18688,9344,368640,2,False,56448.0,2077742.4155625,8310969.66225,1148.0,308762845.52142596,0,52559872,29682332.39047373,726915.1363301376,32387968.0,0.0,18733.604585472,19944.5968060416,41489.2350111744,270745645.8930233,5549064.192,924844032,115605504,147456,576b,6021120,4,4,1,28,14,1,1,4,4,1,2,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,96,65536,18688,9344,368640,1,False,56448.0,2078516.6722499998,8314066.688999999,1148.0,301289711.28817576,0,40517632,22261749.292855296,726915.1363301376,24967408.0,0.0,8354.276904960001,8864.2652471296,10374.661000396802,270745645.8930233,5549064.192,924844032,51380224,147456,576b,4515840,4,4,1,14,7,1,1,4,4,1,2,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,96,65536,18688,9344,368640,2,False,56448.0,2078516.6722499998,8314066.688999999,1148.0,301289711.28817576,0,40517632,22261749.292855296,726915.1363301376,24967408.0,0.0,8354.276904960001,8864.2652471296,10374.661000396802,270745645.8930233,5549064.192,924844032,51380224,147456,576b,4515840,4,4,1,14,7,1,1,4,4,1,2,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,384,65536,18688,9344,368640,1,False,64512.0,2081613.699,8326454.796,1148.0,340393570.3556768,0,39944192,21625699.31305943,726915.1363301376,24614048.0,0.0,5393.3742342144005,5698.4562302976,2966.4290930688003,309423676.44811916,6341787.648,1056964608,33030144,147456,576b,4386816,4,4,1,7,4,1,1,4,4,1,2,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,384,65536,18688,9344,368640,2,False,64512.0,2081613.699,8326454.796,1148.0,340393570.3556768,0,39944192,21625699.31305943,726915.1363301376,24614048.0,0.0,5393.3742342144005,5698.4562302976,2966.4290930688003,309423676.44811916,6341787.648,1056964608,33030144,147456,576b,4386816,4,4,1,7,4,1,1,4,4,1,2,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,1536,65536,18688,9344,368640,1,False,64512.0,2094001.8059999999,8376007.223999999,1148.0,340387979.2835641,0,39944192,21625699.31305943,726915.1363301376,24614048.0,0.0,3765.9666530304,3957.26127104,743.9595208704001,309423676.44811916,6341787.648,1056964608,22937600,147456,576b,4386816,2,2,1,7,4,1,1,4,4,1,2,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,1536,65536,18688,9344,368640,2,False,64512.0,2094001.8059999999,8376007.223999999,1148.0,340387979.2835641,0,39944192,21625699.31305943,726915.1363301376,24614048.0,0.0,3765.9666530304,3957.26127104,743.9595208704001,309423676.44811916,6341787.648,1056964608,22937600,147456,576b,4386816,2,2,1,7,4,1,1,4,4,1,2,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,24,65536,9344,9344,368640,1,False,112896.0,2077742.4155625,8310969.66225,1148.0,591801554.5923707,0,63373312,35618798.86856848,1453830.2726602752,39051328.0,0.0,37393.2967919616,39889.1936120832,82978.4700223488,541491837.2479444,11098128.384,1849688064,231211008,294912,576b,7225344,4,4,1,56,14,1,1,4,8,1,1,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,24,65536,9344,9344,368640,2,False,112896.0,2077742.4155625,8310969.66225,1148.0,591801554.5923707,0,63373312,35618798.86856848,1453830.2726602752,39051328.0,0.0,37393.2967919616,39889.1936120832,82978.4700223488,541491837.2479444,11098128.384,1849688064,231211008,294912,576b,7225344,4,4,1,56,14,1,1,4,8,1,1,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,96,65536,9344,9344,368640,1,False,112896.0,2078516.6722499998,8314066.688999999,1148.0,580812930.4446001,0,45711360,24735276.992061444,1453830.2726602752,28167840.0,0.0,16646.960160768,17728.5304942592,20749.322000793603,541491837.2479444,11098128.384,1849688064,102760448,294912,576b,5017600,4,4,1,28,7,1,1,4,8,1,1,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,96,65536,9344,9344,368640,2,False,112896.0,2078516.6722499998,8314066.688999999,1148.0,580812930.4446001,0,45711360,24735276.992061444,1453830.2726602752,28167840.0,0.0,16646.960160768,17728.5304942592,20749.322000793603,541491837.2479444,11098128.384,1849688064,102760448,294912,576b,5017600,4,4,1,28,7,1,1,4,8,1,1,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,384,65536,9344,9344,368640,1,False,129024.0,2081613.699,8326454.796,1148.0,658172579.601105,0,43188224,22897799.272651162,1453830.2726602752,26613056.0,0.0,10723.3950007296,11396.9124605952,5932.858186137601,618847895.1394575,12683575.296,2113929216,66060288,294912,576b,4644864,4,4,1,14,4,1,1,4,8,1,1,1,8,1,4,4,conv1
